register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
1297094250,Casal Sala del Roser,,,2001-10-24T00:00:00+02:00,2018-07-26T15:43:28+02:00,,,076603,C Clos de Sant Francesc,62,,23,Sarrià,05,Sarrià-Sant Gervasi,08034,BARCELONA,True,,133534,20001,Telèfons,Tel.,932030339,True,,55733068,Casals d'avis,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,651,0065103002002000,426496.86811827077,4583462.953571221,41.39934737986867,2.1206948343670775
92086019602,Centre Cívic Zona Nord,,,1987-03-17T00:00:00+01:00,2022-04-07T09:24:59.354322+02:00,,,351606,Carrer de Vallcivera,14,,55,Ciutat Meridiana,08,Nou Barris,08033,Barcelona,True,,166163,20001,Telèfons,Tel.,932562900,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,431382.3852707189,4590227.012690122,41.46070056717624,2.1783656547350856
92086019602,Centre Cívic Zona Nord,,,1987-03-17T00:00:00+01:00,2022-04-07T09:24:59.354322+02:00,,,351606,Carrer de Vallcivera,14,,55,Ciutat Meridiana,08,Nou Barris,08033,Barcelona,True,,166163,20001,Telèfons,Tel.,932562900,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431382.3852707189,4590227.012690122,41.46070056717624,2.1783656547350856
92086002380,Centre Cívic Cotxeres de Sants,,,1984-05-30T00:00:00+02:00,2022-04-08T09:12:28.509932+02:00,,,312400,Carrer de Sants,79,,18,Sants,03,Sants-Montjuïc,08014,Barcelona,True,,160162,20001,Telèfons,Tel.,932918701,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,427824.72279217,4580779.459042303,41.37529848802473,2.136897693555585
92086002380,Centre Cívic Cotxeres de Sants,,,1984-05-30T00:00:00+02:00,2022-04-08T09:12:28.509932+02:00,,,312400,Carrer de Sants,79,,18,Sants,03,Sants-Montjuïc,08014,Barcelona,True,,160162,20001,Telèfons,Tel.,932918701,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,427824.72279217,4580779.459042303,41.37529848802473,2.136897693555585
2011131453,Centre Cívic Cotxeres Borrell,,,2002-01-11T00:00:00+01:00,2022-04-01T12:59:13.137550+02:00,,,361406,Carrer de Viladomat,2,,10,Sant Antoni,02,Eixample,08015,Barcelona,True,,133326,20001,Telèfons,Tel.,933248350,True,,55733072,Centres cívics,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Centres cívics,651,0065103002002004,430024.0673948785,4580828.679024282,41.37593604478161,2.1631899655131503
2011131453,Centre Cívic Cotxeres Borrell,,,2002-01-11T00:00:00+01:00,2022-04-01T12:59:13.137550+02:00,,,361406,Carrer de Viladomat,2,,10,Sant Antoni,02,Eixample,08015,Barcelona,True,,133326,20001,Telèfons,Tel.,933248350,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,430024.0673948785,4580828.679024282,41.37593604478161,2.1631899655131503
1344091708,Casal de Gent Gran Sant Cristòfol,,,2001-12-10T00:00:00+01:00,2021-11-03T12:08:04.638220+01:00,,,049203,C Bronze,5,,13,la Marina de Port,03,Sants-Montjuïc,08038,BARCELONA,True,,133213,20001,Telèfons,Tel.,933312997,True,,55733068,Casals d'avis,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,651,0065103002002000,427664.6367607806,4578864.281709222,41.35803481074543,2.1352119680510184
1344091708,Casal de Gent Gran Sant Cristòfol,,,2001-12-10T00:00:00+01:00,2021-11-03T12:08:04.638220+01:00,,,049203,C Bronze,5,,13,la Marina de Port,03,Sants-Montjuïc,08038,BARCELONA,True,,133213,20001,Telèfons,Tel.,933312997,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,427664.6367607806,4578864.281709222,41.35803481074543,2.1352119680510184
99400287230,Casal de Gent Gran Vilapicina i Torre Llobeta,,,2012-02-28T12:18:38+01:00,2021-11-03T12:09:13.636679+01:00,,,701719,Pl Carmen Laforet,11,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08016,BARCELONA,True,,224516,20001,Telèfons,Tel.,933521816,True,,55733068,Casals d'avis,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,651,0065103002002000,431188.352918094,4586477.784165574,41.42691611188821,2.1764696039707148
99400287230,Casal de Gent Gran Vilapicina i Torre Llobeta,,,2012-02-28T12:18:38+01:00,2021-11-03T12:09:13.636679+01:00,,,701719,Pl Carmen Laforet,11,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08016,BARCELONA,True,,224516,20001,Telèfons,Tel.,933521816,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431188.352918094,4586477.784165574,41.42691611188821,2.1764696039707148
97112081236,Espai de Gent Gran Sagrada Família,,,1997-04-22T00:00:00+02:00,2021-11-03T12:10:46.304834+01:00,,,191204,C Mallorca,425,,06,la Sagrada Família,02,Eixample,08013,BARCELONA,True,,197558,20001,Telèfons,Tel.,932562831,True,Espai Gent Gran,55733068,Casals d'avis,Planol BCN >> Cultura i lleure >> Espais de participació ciutadana >> Casals d'avis,651,0065103002002000,431177.687497668,4584149.244862898,41.4059428522944,2.176606897474682
